Airport,Category,date,amount,company_name
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.07.2020,17317070.486,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.08.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.08.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.08.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.08.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.08.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.08.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.08.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.08.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.08.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.08.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.08.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.08.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.08.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.08.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.08.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.08.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.08.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.08.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.08.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.08.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.08.2020,797716.0,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.08.2020,663369.0,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.08.2020,133098.0,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.08.2020,10494.0,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.08.2020,16048856.9,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.08.2020,252022.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.08.2020,250844.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.08.2020,1178.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.08.2020,2676.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.08.2020,1198437.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.08.2020,16311.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.08.2020,16311.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.08.2020,0.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.08.2020,175.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.08.2020,504.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.08.2020,1066049.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.08.2020,930524.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.08.2020,134276.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.08.2020,13345.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.08.2020,17247797.9,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.09.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.09.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.09.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.09.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.09.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.09.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.09.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.09.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.09.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.09.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.09.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.09.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.09.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.09.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.09.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.09.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.09.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.09.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.09.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.09.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.09.2020,562247.0,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.09.2020,453282.0,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.09.2020,107294.0,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.09.2020,9335.0,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.09.2020,18152517.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.09.2020,128664.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.09.2020,128093.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.09.2020,564.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.09.2020,2135.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.09.2020,1301913.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.09.2020,12367.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.09.2020,12283.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.09.2020,0.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.09.2020,189.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.09.2020,240.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.09.2020,703278.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.09.2020,593658.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.09.2020,107858.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.09.2020,11659.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.09.2020,19454670.0,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.10.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.10.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.10.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.10.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.10.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.10.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.10.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.10.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.10.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.10.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.10.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.10.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.10.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.10.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.10.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.10.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.10.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.10.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.10.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.10.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.10.2020,378107.0,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.10.2020,279870.0,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.10.2020,96188.0,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.10.2020,6986.0,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.10.2020,19536989.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.10.2020,110346.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.10.2020,110072.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.10.2020,256.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.10.2020,1622.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.10.2020,1237949.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.10.2020,5591.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.10.2020,5591.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.10.2020,0.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.10.2020,106.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.10.2020,0.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.10.2020,494044.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.10.2020,395533.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.10.2020,96444.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.10.2020,8714.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.10.2020,20774938.0,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.11.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.11.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.11.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.11.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.11.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.11.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.11.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.11.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.11.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.11.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.11.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.11.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.11.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.11.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.11.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.11.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.11.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.11.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.11.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.11.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.11.2020,181115.0,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.11.2020,138670.0,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.11.2020,40612.0,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.11.2020,4247.0,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.11.2020,20805034.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.11.2020,39875.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.11.2020,39538.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.11.2020,282.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.11.2020,916.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.11.2020,1326894.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.11.2020,1593.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.11.2020,1564.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.11.2020,0.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.11.2020,38.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.11.2020,0.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.11.2020,222583.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.11.2020,179772.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.11.2020,40894.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.11.2020,5201.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.11.2020,22131928.0,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.12.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.12.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.12.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.12.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.12.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.12.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.12.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.12.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.12.2020,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.12.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.12.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.12.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.12.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.12.2020,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.12.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.12.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.12.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.12.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.12.2020,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.12.2020,,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.12.2020,226837.0,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.12.2020,172664.0,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.12.2020,51464.0,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.12.2020,4077.0,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.12.2020,19667495.67,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.12.2020,46475.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.12.2020,46061.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.12.2020,378.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.12.2020,767.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.12.2020,1299056.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.12.2020,4634.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.12.2020,4634.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.12.2020,0.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.12.2020,68.0,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.12.2020,0.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.12.2020,277946.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.12.2020,223359.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.12.2020,51842.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.12.2020,4912.0,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.12.2020,20966565.67,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.01.2019,,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.01.2019,,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.01.2019,,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.01.2019,,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.01.2019,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.01.2019,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.01.2019,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.01.2019,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.01.2019,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.01.2019,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.01.2019,,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.01.2019,,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.01.2019,,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.01.2019,,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.01.2019,,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.01.2019,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Transferpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Flugbewegungen (an + ab),01.01.2019,,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.01.2019,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Passagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Lokalpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Transferpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Flugbewegungen (an + ab),01.01.2019,,Flughafen Wien AG
"Flughafen Kosice (KSC, At-Equity konsolidiert)",Cargo in Tonnen (Luftfracht und Trucking),01.01.2019,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Passagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Lokalpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Transferpassagiere,01.01.2019,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Flugbewegungen (an + ab),01.01.2019,,Flughafen Wien AG
"Flughafen Wien Gruppe (VIE, MLA, KSC)",Cargo in Tonnen (Luftfracht und Trucking),01.01.2019,,Flughafen Wien AG
Flughafen Wien (VIE),Passagiere,01.01.2019,1830923.0,Flughafen Wien AG
Flughafen Wien (VIE),Lokalpassagiere,01.01.2019,1448127.0,Flughafen Wien AG
Flughafen Wien (VIE),Transferpassagiere,01.01.2019,376568.0,Flughafen Wien AG
Flughafen Wien (VIE),Flugbewegungen (an + ab),01.01.2019,18171.0,Flughafen Wien AG
Flughafen Wien (VIE),Cargo in Tonnen (Luftfracht und Trucking),01.01.2019,21225661.450000003,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Passagiere,01.01.2019,365995.0,Flughafen Wien AG
"Flughafen Malta (MLA, voll konsolidiert)",Lokalpassagiere,01.01.2019,364047.0,Flughafen Wien AG
